_id,ASSISTANCE_YEAR,ASSISTANCE_TERM,UNIVERSITY,AGE,COUNTY,NUMBER_OF_STUDENTS
250,2019,1,İstinye Üniversitesi,20,KAĞITHANE,2
251,2019,1,Erzincan Binali Yıldırım Üniversitesi,20,KAĞITHANE,1
252,2020,1,Orta Doğu Teknik Üniversitesi,23,ÇATALCA,1
253,2020,1,Tekirdağ Namık Kemal,19,AVCILAR,8
254,2020,1,Yeditepe Üniversitesi,21,BÜYÜKÇEKMECE,1
255,2020,1,İstinye Üniversitesi,19,ESENLER,3
256,2020,1,Sakarya Üniversitesi,23,SARIYER,1
257,2020,1,Selçuk Üniversitesi,23,FATİH,1
258,2020,1,Ankara Üniversitesi,23,ÜSKÜDAR,2
259,2020,1,Trakya Üniversitesi,19,ÇEKMEKÖY,1
260,2020,1,Çanakkale Onsekiz Mart Üniversitesi,20,BAŞAKŞEHİR,5
261,2020,1,Zonguldak Bülent Ecevit Üniversitesi,20,ŞİLE,1
262,2019,1,Yıldız Teknik Üniversitesi,23,BEŞİKTAŞ,1
263,2020,1,Biruni Üniversitesi,21,GÜNGÖREN,1
264,2019,2,Kırklareli Üniversitesi,19,TUZLA,1
265,2020,1,Koç Üniversitesi,19,BÜYÜKÇEKMECE,1
266,2020,1,Bahçeşehir Üniversitesi,20,PENDİK,1
267,2019,1,Zonguldak Bülent Ecevit Üniversitesi,25,BAHÇELİEVLER,1
268,2019,1,Altınbaş Üniversitesi,24,BAĞCILAR,2
269,2020,1,Van Yüzüncü Yıl Üniversitesi,22,SANCAKTEPE,2
270,2020,1,Trakya Üniversitesi,20,SULTANGAZİ,25
271,2019,1,İstanbul Gelişim Üniversitesi,20,ŞİŞLİ,1
272,2020,1,Zonguldak Bülent Ecevit Üniversitesi,24,BAĞCILAR,1
273,2019,2,İstanbul Medeniyet Üniversitesi,21,ESENYURT,4
274,2020,1,Yozgat Bozok Üniversitesi,22,GAZİOSMANPAŞA,1
275,2019,1,Gebze Teknik Üniversitesi,24,MALTEPE,1
276,2020,1,Muğla Sıtkı Koçman Üniversitesi,19,KAĞITHANE,1
277,2020,1,Mimar Sinan Güzel Sanatlar Üniversitesi,21,KAĞITHANE,2
278,2019,2,İstanbul Üniversitesi,25,BAYRAMPAŞA,1
279,2020,1,Afyonkarahisar Sağlık Bilimleri Üniversitesi,20,ESENYURT,1
280,2019,1,Haliç Üniversitesi,24,AVCILAR,1
281,2019,2,Bursa Uludağ Üniversitesi,19,ÜMRANİYE,1
282,2020,1,Burdur Mehmet Akif Ersoy Üniversitesi,20,ÜMRANİYE,1
283,2019,2,Sakarya Üniversitesi,22,SULTANBEYLİ,12
284,2019,2,Yıldız Teknik Üniversitesi,21,KADIKÖY,5
285,2019,2,Atatürk Üniversitesi,24,SANCAKTEPE,1
286,2020,1,Piri Reis Üniversitesi,18,BAYRAMPAŞA,1
287,2019,1,İstanbul Ayvansaray Üniversitesi,21,BAHÇELİEVLER,1
288,2020,1,Tekirdağ Namık Kemal,23,ÇEKMEKÖY,1
289,2019,1,İstanbul Kültür Üniversitesi,20,AVCILAR,1
290,2020,1,Sağlık Bilimleri Üniversitesi,20,TUZLA,4
291,2019,1,Sağlık Bilimleri Üniversitesi,20,SULTANGAZİ,2
292,2020,1,Marmara Üniversitesi,23,ESENYURT,10
293,2020,1,Ege Üniversitesi,20,AVCILAR,2
294,2020,1,Sakarya Uygulamalı Bilimler Üniversitesi,21,ATAŞEHİR,3
295,2019,2,Nişantaşı Üniversitesi,21,SULTANGAZİ,1
296,2019,1,Yıldız Teknik Üniversitesi,21,SULTANBEYLİ,3
297,2019,2,Bursa Teknik Üniversitesi,20,EYÜPSULTAN,1
298,2020,1,İstanbul Medeniyet Üniversitesi,22,ZEYTİNBURNU,7
299,2020,1,Fırat Üniversitesi,19,SANCAKTEPE,1
300,2020,1,İstanbul Medeniyet Üniversitesi,24,AVCILAR,2
301,2019,1,İstanbul Teknik Üniversitesi,23,KADIKÖY,1
302,2019,2,Mimar Sinan Güzel Sanatlar Üniversitesi,21,ÇEKMEKÖY,1
303,2019,2,Harran Üniversitesi,19,GÜNGÖREN,1
304,2019,2,Galatasaray Üniversitesi,21,BAŞAKŞEHİR,1
305,2020,1,İstanbul Ayvansaray Üniversitesi,20,BAĞCILAR,1
306,2019,1,Marmara Üniversitesi,25,BAĞCILAR,3
307,2020,1,İstanbul Üniversitesi-Cerrahpaşa,21,KADIKÖY,3
308,2020,1,Ankara Hacı Bayram Veli Üniversitesi,18,SİLİVRİ,1
309,2020,1,Karabük Üniversitesi,24,ESENLER,2
310,2020,1,Zonguldak Bülent Ecevit Üniversitesi,20,SULTANBEYLİ,7
311,2020,1,Bayburt Üniversitesi,19,ZEYTİNBURNU,1
312,2020,1,Sağlık Bilimleri Üniversitesi,20,BAHÇELİEVLER,10
313,2020,1,Düzce Üniversitesi,22,KARTAL,7
314,2019,2,Yıldız Teknik Üniversitesi,22,ESENLER,7
315,2019,1,İstanbul Medeniyet Üniversitesi,23,MALTEPE,3
316,2020,1,Adana Alparslan Türkeş Bilim Ve Teknoloji Üniversitesi,20,PENDİK,1
317,2020,1,Ege Üniversitesi,18,BEYKOZ,2
318,2019,1,Kastamonu Üniversitesi,21,GAZİOSMANPAŞA,1
319,2020,1,İstanbul Sabahattin Zaim Üniversitesi,22,SANCAKTEPE,1
320,2020,1,Galatasaray Üniversitesi,19,SARIYER,1
321,2019,2,İstanbul Yeni Yüzyıl Üniversitesi,20,KÜÇÜKÇEKMECE,1
322,2019,1,Kırklareli Üniversitesi,21,ÇATALCA,1
323,2020,1,Sakarya Uygulamalı Bilimler Üniversitesi,21,ARNAVUTKÖY,3
324,2019,1,Düzce Üniversitesi,20,BEYLİKDÜZÜ,1
325,2020,1,Bandırma Onyedi Eylül,23,GAZİOSMANPAŞA,2
326,2019,2,Ankara Hacı Bayram Veli Üniversitesi,21,SANCAKTEPE,1
327,2019,2,Balıkesir Üniversitesi,24,KÜÇÜKÇEKMECE,1
328,2020,1,Kastamonu Üniversitesi,21,KÜÇÜKÇEKMECE,7
329,2020,1,Kastamonu Üniversitesi,19,BAĞCILAR,6
330,2020,1,Bingöl Üniversitesi,22,ESENYURT,1
331,2020,1,Bursa Uludağ Üniversitesi,21,ARNAVUTKÖY,6
332,2019,1,Karabük Üniversitesi,20,ARNAVUTKÖY,1
333,2019,1,Sakarya Uygulamalı Bilimler Üniversitesi,19,PENDİK,1
334,2020,1,Trakya Üniversitesi,21,EYÜPSULTAN,7
335,2019,2,Kırklareli Üniversitesi,24,SARIYER,1
336,2019,2,Alanya Alaaddin Keykubat Üniversitesi,22,FATİH,1
337,2020,1,İstanbul Arel Üniversitesi,19,ESENLER,3
338,2020,1,İstanbul Medeniyet Üniversitesi,24,KÜÇÜKÇEKMECE,1
339,2020,1,Sakarya Üniversitesi,20,ÇEKMEKÖY,2
340,2020,1,Karadeniz Teknik Üniversitesi,21,KARTAL,2
341,2019,1,İstanbul Şehir Üniversitesi,19,KARTAL,1
342,2019,2,Bursa Uludağ Üniversitesi,21,KARTAL,3
343,2019,2,İstanbul Üniversitesi,24,GAZİOSMANPAŞA,4
344,2020,1,İstanbul Rumeli Üniversitesi,24,ESENYURT,1
345,2020,1,Beykent Üniversitesi,19,EYÜPSULTAN,1
346,2020,1,Bilecik Şeyh Edebali Üniversitesi,25,ESENLER,1
347,2019,2,Sağlık Bilimleri Üniversitesi,24,SULTANBEYLİ,1
348,2020,1,Eskişehir Teknik Üniversitesi,20,KAĞITHANE,1
349,2019,1,Alanya Alaaddin Keykubat Üniversitesi,21,SULTANGAZİ,2
350,2020,1,Acıbadem Mehmet Ali Aydınlar Üniversitesi,21,PENDİK,1
351,2020,1,Dicle Üniversitesi,22,SULTANGAZİ,2
352,2020,1,Zonguldak Bülent Ecevit Üniversitesi,21,ÇATALCA,1
353,2020,1,İstanbul Sağlık ve Teknoloji Üniversitesi,20,ÜSKÜDAR,1
354,2020,1,Yıldız Teknik Üniversitesi,20,ZEYTİNBURNU,16
355,2019,1,Çanakkale Onsekiz Mart Üniversitesi,26,ZEYTİNBURNU,1
356,2019,1,Bandırma Onyedi Eylül,19,MALTEPE,1
357,2020,1,Kastamonu Üniversitesi,20,FATİH,2
358,2019,1,İstanbul Rumeli Üniversitesi,21,ESENYURT,2
359,2019,1,Dokuz Eylül Üniversitesi,20,BEYOĞLU,2
360,2019,1,İstanbul Medeniyet Üniversitesi,21,AVCILAR,1
361,2019,1,İstanbul Medipol Üniversitesi,22,AVCILAR,1
362,2019,1,İstinye Üniversitesi,22,BAHÇELİEVLER,1
363,2019,1,Ege Üniversitesi,23,BAĞCILAR,2
364,2020,1,İstanbul Okan Üniversitesi,21,SANCAKTEPE,1
